,title,author,runtime,release_date,language,ratings
0,1. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins,Release date: 03-28-23,Language: English,"5 out of 5 stars
135 ratings"
1,2. Plays Well with Others,By: Eric Barker,Length: 6 hrs and 55 mins,Release date: 05-10-22,Language: English,"4.5 out of 5 stars
350 ratings"
2,3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins,Release date: 10-16-18,Language: English,"5 out of 5 stars
124,770 ratings"
3,4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins,Release date: 04-05-22,Language: English,"4.5 out of 5 stars
19,713 ratings"
4,5. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins,Release date: 01-10-23,Language: English,"5 out of 5 stars
58,067 ratings"
5,6. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins,Release date: 09-13-16,Language: English,"4.5 out of 5 stars
168,432 ratings"
6,7. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins,Release date: 10-20-20,Language: English,"5 out of 5 stars
164,129 ratings"
7,8. I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins,Release date: 03-14-23,Language: English,"4.5 out of 5 stars
653 ratings"
8,9. A History of Fear,By: Luke Dumas,Length: 11 hrs and 40 mins,Release date: 12-06-22,Language: English,"4 out of 5 stars
41 ratings"
9,10. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins,Release date: 08-09-22,Language: English,"5 out of 5 stars
95,365 ratings"
10,11. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins,Release date: 03-05-19,Language: English,"4.5 out of 5 stars
35,585 ratings"
11,12. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins,Release date: 05-03-22,Language: English,"5 out of 5 stars
23,091 ratings"
12,13. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins,Release date: 03-14-23,Language: English,"4.5 out of 5 stars
262 ratings"
